Date,Adj Close
2023-05-01,165.8195783524685
2023-05-02,165.59030907125447
2023-05-03,166.6628185233145
2023-05-04,169.20114300895568
2023-05-05,168.80495282252977
2023-05-08,168.4097180428116
2023-05-09,171.06926589270353
2023-05-10,172.3821108500711
2023-05-11,171.572820993696
2023-05-12,172.50370656606108
2023-05-15,171.70429386907665
2023-05-16,170.90461588437066
2023-05-17,171.3181405751757
2023-05-18,168.04034443603578
2023-05-19,165.1417865690423
2023-05-22,164.21321489759885
2023-05-23,162.55001235341433
2023-05-24,163.0608214313682
2023-05-25,161.5801899150287
2023-05-26,159.29818691223417
2023-05-29,161.63293882762767
2023-05-30,161.268009957975
2023-05-31,161.37691134983555
2023-06-01,159.07769673241148
2023-06-02,158.21170523282768
2023-06-05,158.38719775349605
2023-06-06,156.56417127989417
2023-06-07,157.15237976883202
2023-06-08,156.2084617738123
2023-06-09,155.75281145416986
2023-06-12,154.81563648891694
2023-06-13,157.68325274980984
2023-06-14,157.6619698868121
2023-06-15,155.99436200051213
2023-06-16,157.27748568831518
2023-06-19,155.3573734914553
2023-06-20,155.6818584868345
2023-06-21,152.63100761776724
2023-06-22,150.60378386829495
2023-06-23,150.90026433848374
2023-06-26,152.01461235974818
2023-06-27,152.2751171881067
2023-06-28,152.09901363057398
2023-06-29,151.64103787957745
2023-06-30,149.39899178810649
2023-07-03,148.32355179831973
2023-07-04,147.64031601227202
2023-07-05,149.2010546076976
2023-07-06,149.7137367195587
2023-07-07,147.07422342309883
2023-07-10,147.550867404325
2023-07-11,146.98267515935038
2023-07-12,145.9877170945585
2023-07-13,146.880689344646
2023-07-14,148.39502855042804
2023-07-17,149.777001949075
2023-07-18,148.52004710296083
2023-07-19,148.06080473669843
2023-07-20,148.55127603903296
2023-07-21,150.00046077370985
2023-07-24,149.281697209033
2023-07-25,149.00454233764833
2023-07-26,147.3560529729093
2023-07-27,145.59337010626354
2023-07-28,146.77635383407087
2023-07-31,148.7669934972453
2023-08-01,148.65986620435652
2023-08-02,150.1517168676795
2023-08-03,150.69471956810057
2023-08-04,149.72255816301995
2023-08-07,150.2636489086759
2023-08-08,152.57475877499735
2023-08-09,152.5200972822467
2023-08-10,154.90649330821475
2023-08-11,150.84833803385567
2023-08-14,152.08816430196433
2023-08-15,152.22055259012643
